education,ethnicity,race,sex,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20
high_school_no_college,all,all,men,63.1,64.3,64.3,64.8,65.7,65.5,65.4,65.8,65.7,65.4,65.2,64.8,64.5,64.8,65.2,65.5,64.8,64.6,65.6,65.3,65.8,65.6,65.7,65.6,64.5,64.2,63.4,54.5,57,58.5,59.2
associate_degree,all,all,men,73.4,73.4,72.5,73.1,72.4,73.4,73.0,71.9,73.1,73.7,73.9,73.1,74.3,73.3,73.5,73.9,74.6,73.8,73.1,74.0,73.7,75.0,74.6,73.1,73.6,72.5,72.2,64.4,65.2,66.8,66.4
bachelors_degree,all,all,men,76.6,77.0,77.3,77.4,78.0,77.6,77.8,77.7,76.9,76.1,76.2,76.3,76.1,76.7,76.7,76.8,77.4,77.4,76.9,76.0,76.4,76.6,77.2,76.9,76.7,77.2,76.7,70.5,71.5,72.2,71.5
advance_degree,all,all,men,75.7,76.7,76.5,76.3,75.5,74.2,74.0,74.1,75.4,75.2,75.8,75.3,75.3,76.2,75.9,75.1,75.2,75.1,75.1,75.5,75.6,74.6,74.8,74.7,74.9,75.6,74.3,70.0,71.4,71.5,71.0
high_school_no_college,all,all,women,45.1,44.8,45.0,44.6,45.2,45.3,45.3,45.1,46.3,45.8,46.4,46.4,46.3,46.4,46.0,46.4,46.2,46.0,45.2,45.8,47.1,46.2,46.2,46.2,46.6,47.3,45.5,35.8,36.3,37.8,39.3
associate_degree,all,all,women,64.0,63.0,64.3,63.5,63.7,63.0,61.9,61.8,62.4,63.9,63.7,63.6,62.7,62.5,62.9,63.1,63.3,62.1,62.3,62.1,62.1,63.1,62.4,61.9,61.1,61.4,61.1,52.4,53.0,55.5,56.5
bachelors_degree,all,all,women,66.3,67.9,67.9,67.7,67.4,66.2,65.6,66.6,66.9,67.6,67.1,67.1,66.9,67.7,67.7,67.4,66.7,65.9,65.3,66.1,67.2,67.7,67.9,67.9,67.1,67.4,66.4,59.0,59.6,60.0,60.0
advance_degree,all,all,women,69.7,71.2,71.7,71.2,71.5,69.8,69.0,69.7,71.1,71.4,71.6,71.3,71.4,72.0,72.1,71.7,71.1,69.8,69.0,70.3,72.6,73.0,72.8,71.8,72.3,71.3,70.6,66.0,66.8,67.5,66.6
bachelors_degree,all,white,men,76.5,76.8,77.0,76.9,77.3,76.7,77.0,77.4,76.6,76.0,76.3,76.2,75.9,76.2,76.1,76.1,76.7,76.6,76.0,75.3,75.9,76.5,76.9,76.5,76.3,75.9,75.6,70.4,71.0,71.9,71.3
advance_degree,all,white,men,74.4,75.3,75.1,74.4,73.8,72.8,71.8,72.1,73.0,73.2,73.8,73.6,73.4,74.6,74.3,73.3,73.8,73.6,73.3,73.6,74.2,72.7,72.6,72.6,72.4,73.5,72.0,68.1,69.8,70.4,69.3
bachelors_degree,all,black_african_american,men,77.0,79.4,78.3,77.5,81.2,80.8,80.3,77.7,77.9,77.0,77.0,78.4,75.2,78.3,78.1,78.2,78.6,79.0,78.3,78.6,78.9,78.2,81.5,80.2,79.0,83.4,82.5,67.4,69.1,71.5,69.5
advance_degree,all,black_african_american,men,76.4,78.8,78.4,78.6,76.3,72.4,77.1,73.9,79.7,78.2,76.0,76.8,77.3,77.2,79.6,83.2,81.4,76.9,77.2,74.9,74.1,70.9,73.3,75.3,78.2,79.1,79.6,73.1,72.3,65.8,67.8
bachelors_degree,all,asian,men,75.8,75.6,77.9,79.5,80.7,80.9,81.5,79.1,77.9,76.2,74.4,75.2,78.5,80.1,80.8,80.5,81.4,80.7,81.4,78.3,76.6,74.0,74.3,75.5,76.6,81.6,80.5,73.7,77.2,74.5,73.7
advance_degree,all,asian,men,81.6,82.8,84.0,85.9,85.5,83.7,84.5,86.8,85.8,84.9,87.0,83.4,84.5,84.4,83.6,81.8,80.3,83.5,84.1,87.0,84.3,87.9,88.2,85.6,86.9,85.4,83.5,78.1,78.5,80.2,81.9
bachelors_degree,all,white,women,66.1,67.6,67.7,67.4,66.9,65.8,65.2,66.1,66.8,67.4,66.6,66.7,65.9,67.0,67.3,67.1,66.2,65.3,64.7,65.4,67.1,67.6,68.0,67.6,67.4,67.3,66.4,58.8,59.5,60.0,59.5
advance_degree,all,white,women,69.5,70.9,71.2,70.8,71.3,69.2,68.5,68.9,70.0,70.4,70.4,70.2,70.4,71.3,71.0,70.4,70.2,68.7,68.8,70.0,72.4,72.3,72.2,71.6,71.5,70.2,69.5,64.4,65.7,66.4,66.0
bachelors_degree,all,black_african_american,women,73.1,75.0,73.5,74.4,74.1,70.9,70.5,69.3,69.6,72.1,73.2,73.5,76.2,75.2,72.1,71.6,72.2,71.4,69.6,71.1,70.6,72.8,71.8,72.2,71.2,72.6,70.7,62.6,65.6,64.7,66.4
advance_degree,all,black_african_american,women,72.8,76.4,77.7,77.5,74.5,76.0,73.1,74.1,76.3,76.4,75.1,77.1,77.0,77.3,79.1,79.7,77.3,74.1,73.0,71.2,75.3,77.1,74.3,74.0,76.9,77.3,77.3,73.1,72.8,72.4,73.9
bachelors_degree,all,asian,women,61.2,62.9,63.7,62.7,61.8,62.8,61.0,63.8,62.9,61.9,63.1,63.1,64.2,64.6,65.1,62.4,62.2,61.4,62.1,64.3,62.9,63.0,60.4,63.1,58.0,60.5,59.8,53.5,52.5,53.8,56.9
advance_degree,all,asian,women,66.6,67.1,68.1,66.6,68.3,67.8,67.3,67.8,71.2,70.5,73.0,71.5,70.9,70.3,72.0,70.9,70.3,72.8,66.7,70.1,71.2,72.8,74.1,70.7,71.0,71.6,70.2,67.7,65.6,67.6,62.2
bachelors_degree,hispanic_latino,all,men,84.9,83.1,82.9,83.5,84.9,85.7,87.8,85.9,84.7,80.6,82.4,81.8,82.8,83.7,82.9,81.3,82.2,81.5,82.6,82.3,84.5,83.7,87.1,84.5,85.5,85.8,83.4,71.8,72.4,74.6,74.3
advance_degree,hispanic_latino,all,men,85.7,85.8,85.1,89.0,84.0,88.2,85.8,82.8,82.1,77.3,79.9,81.4,82.0,86.0,82.8,83.2,82.9,81.6,85.4,82.6,82.3,81.7,80.6,77.7,81.4,86.0,84.9,79.4,81.9,81.4,79.2
bachelors_degree,hispanic_latino,all,women,67.1,71.0,68.2,69.6,70.4,71.7,70.7,69.2,70.4,70.8,70.2,71.5,71.2,71.5,72.5,73.4,73.4,68.1,66.4,68.7,69.7,70.7,73.0,71.9,72.0,74.6,72.2,61.0,60.0,63.4,63.4
advance_degree,hispanic_latino,all,women,74.5,77.1,72.2,73.0,72.8,73.1,73.7,70.1,75.7,76.3,74.2,73.0,73.9,75.5,76.8,75.2,78.1,74.8,75.9,75.1,77.6,77.1,74.5,73.5,77.1,73.6,75.2,71.6,68.9,68.8,69.2
