age,ethnicity,race,sex,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,
16-19,all,all,females,29.3,30.7,30.8,29.9,31,36.4,38.7,31.4,30.5,31.8,30.8,31.7,29.5,29.8,31.2,29.3,30.5,35.5,38.5,33.4,29.2,31.1,30.9,30.3,30.5,31.1,30,17,22.3,30,33.4,30.7,
16-19,all,white,females,31.3,32.7,33.3,33,33.9,38.5,41.1,34.8,33.1,33.6,33.2,33.7,30.9,31.8,33.7,31.9,32.8,38.7,41.1,35.9,30.9,32.8,33.2,32.3,33,34.3,33.2,18.1,23.2,31.5,35.9,33.2,
16-19,all,black_african_american,females,23.9,26.6,25.1,18.2,23.3,28.4,32.8,20.8,26,30.3,25.9,26.4,28.1,23.6,23.9,25,25.3,27.4,34.2,28,23.7,27.7,23.5,24.7,22.3,24.6,23.9,15.8,21.9,29.1,31.2,26,
16-19,all,asian,females,18.4,16.2,16.1,15.9,15.6,24.2,22,16,14.2,15.9,15.7,17,17.7,17.6,16.3,13.8,17.2,22.6,21.3,19.2,22.7,24.3,22.9,16.4,17,15.2,12.9,9.9,12.4,12.9,10.8,12.8,
16-19,hispanic_latino,all,females,25.2,26.5,29.5,29.8,28.3,28,30.4,28.6,26.5,31,27.3,28.5,23.4,24.3,27.8,23.8,25.2,26.5,28.2,26.6,24.7,26.6,27,25.3,26,26.6,29.1,16.8,20.3,26.8,26.4,25.6,
20-24,all,all,females,63.3,63.8,64.4,64.4,64.1,66,67.4,65.1,64.2,64.6,65,64.5,63.6,64.7,65.6,66,66.3,68.1,68.1,66.6,66.9,68.3,66.2,66.1,64.6,66.4,62.7,45.5,48.9,54.2,55.4,57,
20-24,all,white,females,65.9,65.9,65.6,66,65.9,68.2,69.6,66.6,65.8,66.6,67.3,66.3,65,67.1,67.8,67.5,67.1,69,70,67.9,68.6,69.6,67,67.7,67.2,67.9,64.8,46.5,50.9,56.6,57.4,60.6,
20-24,all,black_african_american,females,59.5,58.8,62.6,63.2,62.5,64.9,65.4,63.8,64.3,63.2,63.1,61.8,61.6,56.8,61.3,63.1,63.5,64.5,63.2,63.9,64.4,66.2,67.6,65.9,58.9,62.6,56.7,43.9,43.1,46.1,47.4,45.1,
20-24,all,asian,females,44.5,48.7,47.8,49.6,47.5,45.6,50,54.5,46.2,48.5,46.9,49.6,53.4,50.9,51.1,53.7,52.8,60.5,58.9,53,54.9,57.3,51.7,50.2,47.7,55.8,50.9,40.8,37.6,46.1,44.6,50.1,
20-24,hispanic_latino,all,females,59,57.9,58.2,60.3,62.9,62.4,64.1,62.9,64.4,63.9,65,64.7,62.8,62.8,62.6,64.8,64.2,64.1,65.7,65.1,66.4,67.6,64.9,65,64.7,65.6,59.8,42.8,45.9,54.1,51,53.3,
