age,race,sex,ethnicity,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,,,,,,,,,
16-19,all,males,all,191,203,168,172,241,380,316,230,193,194,176,162,194,197,188,159,206,352,279,209,185,194,178,160,205,199,172,265,380,477,354,313,267,218,257,179,264,260,242,,,,,,,,,
20-24,all,males,all,607,596,521,459,523,629,512,476,468,438,421,494,659,543,565,439,554,553,523,469,440,461,454,483,468,458,531,1013,1091,1020,1034,852,773,689,681,733,720,698,768,,,,,,,,,
25-54,all,males,all,2049,1910,1957,1732,1498,1578,1455,1535,1478,1538,1403,1725,2003,1932,1854,1567,1401,1417,1527,1543,1429,1412,1390,1576,1868,1853,2081,5790,5131,4605,4370,3707,3395,3228,3109,3018,3382,3216,3080,,,,,,,,,
55+,all,males,all,577,638,559,513,440,481,473,449,403,386,477,500,604,522,484,412,354,392,398,353,348,370,446,384,530,561,595,1837,1577,1350,1255,1179,1047,858,990,1033,973,1048,843,,,,,,,,,
16-19,all,males,hispanic_latino,43,30,41,31,51,86,96,65,69,47,74,53,32,45,53,50,45,68,99,57,41,59,75,32,60,66,54,118,135,144,96,98,108,80,107,54,79,98,91,,,,,,,,,
20-24,all,males,hispanic_latino,131,143,153,121,133,143,108,100,106,93,109,97,174,126,140,104,86,114,128,105,89,97,110,88,117,87,189,272,332,290,233,187,191,140,190,203,222,225,240,,,,,,,,,
25-54,all,males,hispanic_latino,493,408,436,314,275,293,226,307,291,332,301,357,486,440,441,302,266,276,322,272,224,276,266,326,413,374,523,1597,1413,1177,1066,981,844,828,775,905,874,822,783,,,,,,,,,
55+,all,males,hispanic_latino,110,118,90,90,90,63,72,94,87,74,78,87,79,66,86,71,81,74,61,63,59,66,69,67,134,127,120,349,269,272,288,253,203,174,143,193,207,238,186,,,,,,,,,
16-19,white,males,all,130,143,110,92,156,239,199,151,129,103,122,95,132,133,132,113,143,222,189,165,139,129,116,110,150,124,133,199,283,360,247,221,207,150,206,110,192,170,172,,,,,,,,,
20-24,white,males,all,389,440,340,317,312,396,308,323,318,258,267,321,420,291,336,285,328,333,333,312,297,293,303,332,300,275,366,749,728,656,695,542,470,430,453,485,530,486,582,,,,,,,,,
25-54,white,males,all,1407,1364,1376,1228,1044,1092,980,1012,968,1038,969,1201,1393,1300,1240,1025,932,991,1068,1080,946,951,966,1115,1275,1285,1496,4199,3708,3155,2979,2554,2339,2144,2161,2189,2360,2229,2038,,,,,,,,,
55+,white,males,all,355,440,369,297,264,264,250,280,249,218,279,313,338,334,297,227,226,240,205,180,215,252,275,222,339,356,349,1124,937,794,734,625,614,511,526,604,587,610,490,,,,,,,,,
16-19,black_african_american,males,all,54,52,37,60,62,104,85,53,45,73,41,54,43,43,33,39,59,83,54,33,34,44,47,47,35,55,34,30,70,79,64,52,28,51,28,49,43,35,26,,,,,,,,,
20-24,black_african_american,males,all,170,128,106,97,143,164,143,80,88,113,78,112,165,178,152,112,149,141,140,116,88,114,109,129,111,111,129,149,204,205,224,206,223,194,141,133,100,142,128,,,,,,,,,
25-54,black_african_american,males,all,428,342,385,358,327,309,293,344,328,339,330,352,412,445,397,394,334,277,317,313,312,290,264,314,401,408,392,883,832,841,880,721,655,675,599,549,667,666,698,,,,,,,,,
55+,black_african_american,males,all,77,69,76,81,44,59,74,64,59,74,68,67,117,77,64,67,45,36,63,53,34,32,43,56,41,49,92,185,193,208,164,184,137,103,154,140,113,145,96,,,,,,,,,
16-19,asian,males,all,0,3,0,0,3,5,10,3,0,0,7,0,5,0,6,0,4,7,13,5,4,6,3,0,1,1,0,1,6,8,28,21,2,0,4,7,14,7,9,,,,,,,,,
