age,race,sex,ethnicity,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,,,,,,,,,
16-19,all,males,all,217,274,254,200,205,222,224,189,152,140,169,190,202,229,184,201,171,210,225,202,193,178,207,184,183,139,222,407,416,326,359,200,203,207,155,205,176,229,178,,,,,,,,,
20-24,all,males,all,125,55,81,85,76,81,93,50,96,110,78,83,96,90,139,99,100,85,93,92,103,102,42,46,141,92,172,513,483,399,276,157,161,166,134,151,115,106,108,,,,,,,,,
25-54,all,males,all,163,155,113,81,120,93,95,101,80,108,112,132,122,99,140,84,78,99,92,104,90,87,79,111,137,139,161,624,478,422,330,218,235,167,144,213,185,180,190,,,,,,,,,
55+,all,males,all,149,147,120,113,104,110,106,119,132,115,106,132,151,132,127,103,106,118,90,107,79,102,95,88,98,110,186,561,404,404,332,263,170,137,172,158,187,162,132,,,,,,,,,
16-19,all,males,hispanic_latino,52,65,65,46,50,23,62,34,24,22,59,62,51,59,48,41,42,49,70,39,57,38,58,42,34,25,48,71,82,70,89,44,50,40,48,44,24,38,40,,,,,,,,,
20-24,all,males,hispanic_latino,32,6,22,14,10,16,23,2,23,25,5,18,27,12,32,16,29,31,28,12,7,24,9,11,21,6,27,93,118,108,62,18,31,47,31,31,19,19,16,,,,,,,,,
25-54,all,males,hispanic_latino,51,29,22,17,33,12,7,19,3,15,12,24,26,6,16,23,10,13,25,22,12,10,5,32,36,21,18,160,105,65,38,40,28,47,50,74,59,43,64,,,,,,,,,
55+,all,males,hispanic_latino,16,8,21,12,1,16,0,6,16,5,13,13,17,25,8,5,11,6,4,8,3,8,4,2,13,16,16,31,42,37,19,23,6,24,29,25,21,21,11,,,,,,,,,
16-19,all,males,hispanic_latino,161,188,168,158,141,162,154,147,113,103,116,156,150,174,132,152,128,184,176,143,154,140,160,176,127,102,146,316,316,247,267,157,163,173,129,163,130,188,120,,,,,,,,,
20-24,all,males,hispanic_latino,92,50,64,52,49,48,58,35,72,68,48,61,71,78,104,55,80,72,74,59,61,63,34,30,102,56,88,354,361,251,171,73,89,122,102,105,95,69,65,,,,,,,,,
