age,race,sex,ethnicity,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug
16-19,males,all,hispanic_latino,43,30,41,31,51,86,96,65,69,47,74,53,32,45,53,50,45,68,99,57,41,59,75,32,60,66,54,118,135,144,96,98
16-19,males,white,all,130,143,110,92,156,239,199,151,129,103,122,95,132,133,132,113,143,222,189,165,139,129,116,110,150,124,133,199,283,360,247,221
16-19,males,black_african_american,all,54,52,37,60,62,104,85,53,45,73,41,54,43,43,33,39,59,83,54,33,34,44,47,47,35,55,34,30,70,79,64,52
16-19,males,asian,all,0,3,0,0,3,5,10,3,0,0,7,0,5,0,6,0,4,7,13,5,4,6,3,0,1,1,0,1,6,8,28,21
16-19,females,all,all,114,123,127,110,142,237,196,154,110,148,102,74,143,141,137,99,181,249,229,126,123,109,114,123,165,145,129,186,260,320,237,210
16-19,females,all,hispanic_latino,36,34,30,27,24,48,68,27,32,30,21,16,49,44,20,17,43,67,78,37,49,38,40,49,45,63,51,61,94,103,69,58
16-19,females,white,all,81,68,70,55,103,164,126,98,66,90,53,45,101,64,78,56,107,149,159,96,81,63,77,83,96,90,75,137,183,250,159,124
16-19,females,black_african_american,all,21,39,54,51,22,52,58,44,35,46,33,18,34,63,44,28,58,64,48,27,29,30,28,39,54,37,44,31,60,54,56,65
16-19,females,asian,all,0,5,0,0,4,4,0,7,0,5,5,6,0,13,9,0,0,12,0,0,3,0,0,0,0,0,4,7,0,0,10,1
16-19,males,all,all,191,203,168,172,241,380,316,230,193,194,176,162,194,197,188,159,206,352,279,209,185,194,178,160,205,199,172,265,380,477,354,313
20-24,males,all,all,607,596,521,459,523,629,512,476,468,438,421,494,659,543,565,439,554,553,523,469,440,461,454,483,468,458,531,1013,1091,1020,1034,852
20-24,males,all,hispanic_latino,131,143,153,121,133,143,108,100,106,93,109,97,174,126,140,104,86,114,128,105,89,97,110,88,117,87,189,272,332,290,233,187
20-24,males,white,all,389,440,340,317,312,396,308,323,318,258,267,321,420,291,336,285,328,333,333,312,297,293,303,332,300,275,366,749,728,656,695,542
20-24,males,black_african_american,all,170,128,106,97,143,164,143,80,88,113,78,112,165,178,152,112,149,141,140,116,88,114,109,129,111,111,129,149,204,205,224,206
20-24,males,asian,all,25,4,28,20,20,32,22,29,36,32,30,30,29,15,18,4,11,5,12,17,19,23,10,0,13,20,11,39,70,88,40,63
20-24,females,all,all,359,302,298,287,378,449,435,356,331,332,289,311,414,388,287,239,339,348,416,373,315,296,309,307,379,366,367,1020,1073,1106,1026,792
20-24,females,all,hispanic_latino,72,92,65,62,71,81,90,82,66,86,69,76,101,94,68,40,65,78,79,88,60,79,88,79,69,115,110,252,264,275,329,233
20-24,females,white,all,179,197,181,191,247,307,230,209,178,233,200,208,232,214,161,152,227,238,258,278,193,168,173,171,199,238,237,706,775,741,719,470
20-24,females,black_african_american,all,135,59,77,60,74,86,151,108,82,51,68,79,115,116,94,50,86,95,132,64,103,98,88,80,130,97,87,210,226,225,194,224
20-24,females,asian,all,15,20,15,13,16,32,27,27,41,24,14,18,16,32,9,13,10,2,12,17,12,16,18,28,26,17,11,42,36,50,60,52
20-54,males,all,all,2049,1910,1957,1732,1498,1578,1455,1535,1478,1538,1403,1725,2003,1932,1854,1567,1401,1417,1527,1543,1429,1412,1390,1576,1868,1853,2081,5790,5131,4605,4370,3707
25-54,males,all,hispanic_latino,493,408,436,314,275,293,226,307,291,332,301,357,486,440,441,302,266,276,322,272,224,276,266,326,413,374,523,1597,1413,1177,1066,981
25-54,males,white,all,1407,1364,1376,1228,1044,1092,980,1012,968,1038,969,1201,1393,1300,1240,1025,932,991,1068,1080,946,951,966,1115,1275,1285,1496,4199,3708,3155,2979,2554
25-54,males,black_african_american,all,428,342,385,358,327,309,293,344,328,339,330,352,412,445,397,394,334,277,317,313,312,290,264,314,401,408,392,883,832,841,880,721
25-54,males,asian,all,91,91,77,57,56,93,117,106,117,70,67,106,116,101,117,76,79,76,68,76,88,110,83,84,98,68,129,371,329,368,298,275
25-54,females,all,all,1466,1533,1331,1263,1170,1399,1546,1515,1194,1202,1209,1209,1464,1348,1319,1102,1053,1270,1432,1434,1209,1307,1212,1166,1271,1241,1449,4767,4616,3973,3826,3118
25-54,females,all,hispanic_latino,335,335,303,308,294,270,300,343,274,251,307,273,349,265,321,245,215,297,271,314,291,260,277,290,312,324,403,1110,1150,1035,831,643
25-54,females,white,all,880,913,820,771,813,935,1047,976,754,752,794,755,952,868,827,661,689,871,985,982,837,854,761,678,744,751,892,3361,3104,2680,2595,2064
25-54,females,black_african_american,all,424,449,370,332,267,295,362,389,300,314,293,339,390,319,322,304,274,283,311,310,246,309,289,323,358,321,343,817,925,832,740,699
25-54,females,asian,all,89,87,70,96,41,77,82,84,68,85,60,57,72,91,107,57,47,63,54,71,46,73,83,84,111,105,128,346,410,352,357,211
55+,males,all,all,577,638,559,513,440,481,473,449,403,386,477,500,604,522,484,412,354,392,398,353,348,370,446,384,530,561,595,1837,1577,1350,1255,1179
55+,males,asian,all,21,31,29,26,17,27,31,6,19,27,29,28,34,12,4,14,19,26,47,32,28,19,23,18,14,14,34,145,135,92,109,127
55+,males,black_african_american,,77,69,76,81,44,59,74,64,59,74,68,67,117,77,64,67,45,36,63,53,34,32,43,56,41,49,92,185,193,208,164,184
55+,males,all,hispanic_latino,110,118,90,90,90,63,72,94,87,74,78,87,79,66,86,71,81,74,61,63,59,66,69,67,134,127,120,349,269,272,288,253
55+,males,white,all,467,521,428,381,364,374,357,373,321,282,370,393,449,429,403,319,285,312,281,262,281,307,366,301,461,480,451,1478,1228,1026,940,814
55+,females,all,all,375,395,418,294,300,387,473,405,330,313,312,299,388,333,334,315,347,434,450,399,351,330,277,277,348,272,366,1567,1424,1153,1234,1050
55+,females,asian,all,29,35,25,15,11,16,13,5,14,17,16,18,21,23,5,19,20,10,21,15,12,25,20,11,29,7,17,125,90,97,87,86
55+,females,black_african_american,all,48,52,79,41,62,82,96,77,80,65,47,43,41,43,56,62,66,95,80,59,77,80,52,52,52,41,57,221,220,153,194,132
55+,females,all,hispanic_latino,54,72,82,40,63,75,59,66,59,29,46,37,57,38,55,38,68,59,48,34,35,46,62,55,69,45,66,291,237,187,204,168
55+,females,white,all,286,295,309,233,215,281,351,311,223,212,239,220,311,251,272,228,253,314,333,310,253,217,199,209,253,211,279,1178,1090,871,927,787
